Sr.No,Ib (mA),Vb(mv),T1,T2,Normalizarion 100,Inc Volt,Normalization 80,
332,640,8230,30,30,2.473656677,6220,2.102622316,97.89739182
333,635,8230,30,30,2.48112996,6220,2.10897465,97.89103953
334,635,8230,30,30,2.488603243,6220,2.115326983,97.88468724
335,630,8230,30,30,2.496076526,6220,2.121679316,97.87833495
336,635,8230,30,30,2.503549809,6220,2.12803165,97.87198266
337,635,8230,30,30,2.511023092,6230,2.134383983,97.86563037
338,635,8230,30,30,2.518496375,6230,2.140736316,97.85927808
339,635,8230,30,30,2.525969658,6230,2.147088649,97.85292579
340,635,8230,30,30,2.533442941,6230,2.153440983,97.8465735
341,635,8230,30,30,2.540916224,6230,2.159793316,97.84022121
342,630,8230,30,30,2.548389508,6230,2.166145649,97.83386892
343,635,8230,30,30,2.555862791,6230,2.172497983,97.82751663
344,635,8230,30,30,2.563336074,6240,2.178850316,97.82116434
345,635,8230,30,30,2.570809357,6240,2.185202649,97.81481205
346,635,8230,30,30,2.57828264,6240,2.191554982,97.80845976
347,635,8230,30,30,2.585755923,6240,2.197907316,97.80210747
348,635,8230,30,30,2.593229206,6240,2.204259649,97.79575518
349,635,8230,30,30,2.600702489,6240,2.210611982,97.78940288
350,635,8230,30,30,2.608175772,6240,2.216964315,97.78305059
351,635,8230,30,30,2.615649055,6240,2.223316649,97.7766983
352,635,8230,30,30,2.623122338,6250,2.229668982,97.77034601
353,640,8230,30,30,2.630595621,6250,2.236021315,97.76399372
354,635,8220,30,30,2.638068904,6250,2.242373649,97.75764143
355,635,8230,30,30,2.645542187,6250,2.248725982,97.75128914
356,640,8230,30,30,2.65301547,6250,2.255078315,97.74493685
357,640,8230,30,30,2.660488753,6250,2.261430648,97.73858456
358,635,8230,30,30,2.667962036,6250,2.267782982,97.73223227
359,635,8230,30,30,2.675435319,6250,2.274135315,97.72587998
360,635,8220,30,30,2.682908602,6260,2.280487648,97.71952769
361,630,8230,30,30,2.690381885,6260,2.286839982,97.7131754
362,635,8230,30,30,2.697855168,6260,2.293192315,97.70682311
363,630,8220,30,30,2.705328451,6260,2.299544648,97.70047082
364,630,8220,30,30,2.712801734,6260,2.305896981,97.69411853
365,635,8220,30,30,2.720275017,6260,2.312249315,97.68776624
366,640,8220,30,30,2.7277483,6260,2.318601648,97.68141395
367,635,8220,30,30,2.735221583,6260,2.324953981,97.67506165
368,635,8220,30,30,2.742694866,6260,2.331306315,97.66870936
369,635,8220,30,30,2.750168149,6270,2.337658648,97.66235707
370,635,8220,30,30,2.757641432,6270,2.344010981,97.65600478
371,635,8220,30,30,2.765114715,6270,2.350363314,97.64965249
372,630,8220,30,30,2.772587998,6270,2.356715648,97.6433002
373,640,8220,30,30,2.780061281,6270,2.363067981,97.63694791
374,640,8220,30,30,2.787534564,6270,2.369420314,97.63059562
375,630,8220,30,30,2.795007847,6270,2.375772648,97.62424333
376,635,8220,30,30,2.80248113,6280,2.382124981,97.61789104
377,635,8220,30,30,2.809954413,6280,2.388477314,97.61153875
378,635,8220,30,30,2.817427696,6280,2.394829647,97.60518646
379,635,8220,30,30,2.824900979,6280,2.401181981,97.59883417
380,630,8220,30,30,2.832374262,6280,2.407534314,97.59248188
381,635,8220,30,30,2.839847545,6280,2.413886647,97.58612959
382,635,8220,30,30,2.847320828,6280,2.420238981,97.5797773
383,635,8220,30,30,2.854794111,6290,2.426591314,97.57342501
384,635,8220,30,30,2.862267394,6290,2.432943647,97.56707272
385,630,8220,30,30,2.869740677,6290,2.43929598,97.56072042
386,635,8220,30,30,2.87721396,6290,2.445648314,97.55436813
387,630,8220,30,30,2.884687243,6290,2.452000647,97.54801584
388,635,8220,30,30,2.892160526,6290,2.45835298,97.54166355
389,635,8220,30,30,2.899633809,6290,2.464705313,97.53531126
390,630,8220,30,30,2.907107092,6290,2.471057647,97.52895897
391,635,8220,30,30,2.914580375,6290,2.47740998,97.52260668
392,640,8220,30,30,2.922053658,6300,2.483762313,97.51625439
393,635,8220,30,30,2.929526941,6300,2.490114647,97.5099021
394,640,8220,30,30,2.937000224,6300,2.49646698,97.50354981
395,635,8220,30,30,2.944473507,6300,2.502819313,97.49719752
396,635,8210,30,30,2.95194679,6300,2.509171646,97.49084523
397,635,8210,30,30,2.959420073,6300,2.51552398,97.48449294
398,635,8220,30,30,2.966893356,6300,2.521876313,97.47814065
399,640,8210,30,30,2.974366639,6300,2.528228646,97.47178836
400,635,8210,30,30,2.981839922,6310,2.53458098,97.46543607
401,635,8210,30,30,2.989313205,6310,2.540933313,97.45908378
402,640,8210,30,30,2.996786488,6310,2.547285646,97.45273148
403,635,8210,30,30,3.004259771,6310,2.553637979,97.44637919
404,635,8210,30,30,3.011733054,6310,2.559990313,97.4400269
405,630,8210,30,30,3.019206337,6310,2.566342646,97.43367461
406,635,8210,30,30,3.02667962,6310,2.572694979,97.42732232
407,640,8210,30,30,3.034152903,6320,2.579047313,97.42097003
408,640,8210,30,30,3.041626186,6320,2.585399646,97.41461774
409,635,8210,30,30,3.049099469,6320,2.591751979,97.40826545
410,635,8210,30,30,3.056572752,6320,2.598104312,97.40191316
411,630,8210,30,30,3.064046035,6320,2.604456646,97.39556087
412,630,8210,30,30,3.071519318,6320,2.610808979,97.38920858
413,630,8210,30,30,3.078992601,6320,2.617161312,97.38285629
414,635,8210,30,30,3.086465884,6320,2.623513646,97.376504
415,635,8210,30,30,3.093939167,6320,2.629865979,97.37015171
416,635,8210,30,30,3.10141245,6330,2.636218312,97.36379942
417,635,8210,30,30,3.108885734,6330,2.642570645,97.35744713
418,640,8210,30,30,3.116359017,6330,2.648922979,97.35109484
419,635,8210,30,30,3.1238323,6330,2.655275312,97.34474255
420,635,8210,30,30,3.131305583,6330,2.661627645,97.33839025
421,635,8210,30,30,3.138778866,6330,2.667979979,97.33203796
422,635,8210,30,30,3.146252149,6330,2.674332312,97.32568567
423,635,8210,30,30,3.153725432,6330,2.680684645,97.31933338
424,625,8210,30,30,3.161198715,6340,2.687036978,97.31298109
425,635,8210,30,30,3.168671998,6340,2.693389312,97.3066288
426,630,8210,30,30,3.176145281,6340,2.699741645,97.30027651
427,635,8210,30,30,3.183618564,6340,2.706093978,97.29392422
428,635,8210,30,30,3.191091847,6340,2.712446311,97.28757193
429,640,8210,30,30,3.19856513,6340,2.718798645,97.28121964
430,635,8210,30,30,3.206038413,6340,2.725150978,97.27486735
